band,pd_min,pd_max,observed_default_rate,population_share,count
0,3.336258647452568e-07,0.0174594627911809,0.0005866478939340608,0.10000023465970823,42615
1,0.0174597900668206,0.0493268052623608,0.0005162501466619735,0.10000023465970823,42615
2,0.0493273054517317,0.0984815803997283,0.0007743752199929603,0.10000023465970823,42615
3,0.0984822166966302,0.171271587912579,0.0010559662090813093,0.10000023465970823,42615
4,0.1712730093730319,0.274356804822956,0.0011263639563533967,0.10000023465970823,42615
5,0.2743601336058845,0.415764169182223,0.0018538508471394378,0.09999788806262598,42614
6,0.4157703517502906,0.5900027200459245,0.0027455121436114043,0.10000023465970823,42615
7,0.5900155397514748,0.779748569486968,0.0046931831514724865,0.10000023465970823,42615
8,0.7797529461543794,0.9312188123121096,0.014267276780476358,0.10000023465970823,42615
9,0.931218849638823,0.9999998700386472,0.11045406546990497,0.10000023465970823,42615
